run_id,timestamp_utc,git_commit,dataset,backend,variant,query_id,family,temperature,repetition,outcome,failure_reason,elapsed_ms,rows_returned,result_hash,plan_path,engine_version,python_version,threads,memory_limit_bytes,image_digest,kernel,cpu_model,ram_bytes
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_02_mode_share,q_agn,warm,3,ok,,205.569,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_aware_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_02_ppr,q_eq,warm,3,ok,,512.447,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/innodb_aware_q_eq_02_ppr_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,3,ok,,612.183,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/innodb_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_01_care_trip_share_total,q_agn,warm,4,ok,,144.974,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_aware_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,4,ok,,600.530,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/innodb_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_02_mode_share,q_agn,warm,4,ok,,200.416,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_aware_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_02_ppr,q_eq,warm,4,ok,,522.489,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/innodb_aware_q_eq_02_ppr_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_02_ppr,q_eq,warm,5,ok,,514.543,2,0d09ecbacc3be1d3ca4d5f2ba0171033dde604e9d14fcf8087eab2160c6e6ab7,results/plans/innodb_aware_q_eq_02_ppr_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_01_care_trip_share_total,q_agn,warm,5,ok,,143.203,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,results/plans/innodb_aware_q_agn_01_care_trip_share_total_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_eq_01_care_trip_share_by_sex,q_eq,warm,5,ok,,613.995,2,fc671964cd4c12479223b483b0b00871693be8760c0ba5112f8e74296e83cf22,results/plans/innodb_aware_q_eq_01_care_trip_share_by_sex_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
20260808T210646Z-innodb-aware-warm,2026-08-08 21:06:46,f9a011727e3954ba68fb5f040a3485a71eb9cf08,nhts2017,innodb,aware,q_agn_02_mode_share,q_agn,warm,5,ok,,203.579,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,results/plans/innodb_aware_q_agn_02_mode_share_warm_0.json,mysql 8.4.11,3.13.13,,,,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770925568
